"Peak","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","nearest_gene","distance_to_nearest_gene","Significant","Direction"
"chr3-130290012-130290620",3.9657,7.34952131833671e-153,1.47735667828414e-147,0.2,0.014,"Col25a1",0,"Yes","Male-enriched"
"chr11-79771167-79771854",3.962,3.63795045328043e-264,7.31278972415713e-259,0.355,0.034,"9130204K15Rik",10124,"Yes","Male-enriched"
"chr6-90924400-90924772",3.9588,4.66675647033459e-103,9.38083385127837e-98,0.141,0.011,"Ppp1r2-ps2",17946,"Yes","Male-enriched"
"chr14-67792931-67793825",3.9538,8.56145678090097e-176,1.72097267335603e-170,0.232,0.018,"Dock5",0,"Yes","Male-enriched"
"chr19-25311287-25312338",3.9499,3.74264172803271e-160,7.52323384318766e-155,0.232,0.024,"Kank1",0,"Yes","Male-enriched"
"chr6-136645565-136646133",3.9463,5.6608819644814e-198,1.13791652720826e-192,0.261,0.02,"Plbd1",0,"Yes","Male-enriched"
"chr14-8550914-8551540",3.9441,7.0425844713871e-90,1.41565807493141e-84,0.12,0.008,"4930452B06Rik",0,"Yes","Male-enriched"
"chr12-106168069-106169261",3.9382,0,0,0.48,0.049,"Gm24986",51813,"Yes","Male-enriched"
"chr12-106226558-106227708",3.9367,2.23760382757328e-90,4.49789695795816e-85,0.126,0.01,"Gm24986",5351,"Yes","Male-enriched"
"chr10-117471028-117471947",3.9187,3.5936041608104e-147,7.22364746781142e-142,0.194,0.014,"Gm9002",40911,"Yes","Male-enriched"
"chr11-118433313-118433822",3.9154,0,0,0.419,0.036,"C1qtnf1",0,"Yes","Male-enriched"
"chr19-59159276-59160093",3.8903,1.39612865054341e-256,2.80641404560333e-251,0.332,0.027,"Vax1",6093,"Yes","Male-enriched"
"chr10-117519550-117520166",3.8888,5.60517055347557e-165,1.12671775363634e-159,0.224,0.018,"Kifc5c-ps",74186,"Yes","Male-enriched"
"chr14-93062265-93062770",3.8858,1.39774782114354e-78,2.80966880519348e-73,0.109,0.009,"Pcdh9",0,"Yes","Male-enriched"
"chr4-107628684-107629582",3.8853,0,0,0.433,0.044,"Glis1",0,"Yes","Male-enriched"
"chr12-12496173-12497661",3.8775,0,0,0.464,0.05,"RP23-472H1.1",97161,"Yes","Male-enriched"
"chr15-93161455-93162710",3.8688,0,0,0.509,0.056,"Gm4335",33884,"Yes","Male-enriched"
"chr15-97726805-97727397",3.867,0,0,0.479,0.048,"Endou",0,"Yes","Male-enriched"
"chr15-40333635-40334672",3.8648,0,0,0.511,0.055,"Gm25958",147535,"Yes","Male-enriched"
"chr3-130218125-130218745",3.8597,1.50741607400919e-224,3.03011734700884e-219,0.303,0.027,"Col25a1",0,"Yes","Male-enriched"
"chr14-12161733-12162378",3.8581,2.05631384866568e-103,4.13347871975683e-98,0.143,0.012,"Ptprg",0,"Yes","Male-enriched"
"chr1-56896532-56897139",3.8547,1.78114850002344e-198,3.58035784583711e-193,0.267,0.023,"Satb2",0,"Yes","Male-enriched"
"chr14-100461049-100461901",3.8319,1.00898737701169e-272,2.02820588602627e-267,0.36,0.032,"Gm26367",42434,"Yes","Male-enriched"
"chr5-104386988-104387315",3.8219,6.30156998533625e-122,1.26670378903238e-116,0.166,0.013,"Spp1",47802,"Yes","Male-enriched"
"chr4-141653781-141654338",3.8098,6.24072699886828e-170,1.25447349695051e-164,0.24,0.023,"Plekhm2",0,"Yes","Male-enriched"
"chrX-47622740-47623515",3.8094,6.03121940005803e-142,1.21235953648326e-136,0.195,0.016,"Gm14608",35169,"Yes","Male-enriched"
"chr18-63529583-63530223",3.8093,2.58808688611967e-87,5.20241697326459e-82,0.123,0.01,"Gm22210",2844,"Yes","Male-enriched"
"chr12-65426755-65427182",3.8047,1.3110750303205e-128,2.63544436144846e-123,0.177,0.015,"Gm26015",20784,"Yes","Male-enriched"
"chr10-60215439-60215740",3.7998,1.15864783512786e-189,2.32904435930392e-184,0.261,0.023,"Chst3",0,"Yes","Male-enriched"
"chr5-67594918-67595840",3.7979,2.94508158997566e-241,5.92002630727367e-236,0.337,0.035,"Shisa3",12042,"Yes","Male-enriched"
"chr13-79442777-79443508",3.7928,1.4396995385123e-161,2.89399763034512e-156,0.223,0.019,"Gm24863",11461,"Yes","Male-enriched"
"chr10-123596956-123597391",3.7875,3.97542662575077e-85,7.99116407748665e-80,0.121,0.01,"Fam19a2",0,"Yes","Male-enriched"
"chrX-159845394-159845907",3.783,1.00050711921343e-96,2.01115938061569e-91,0.133,0.01,"Sh3kbp1",0,"Yes","Male-enriched"
"chr14-46577619-46578891",3.7768,0,0,0.521,0.063,"Rubie",1771,"Yes","Male-enriched"
"chr11-76151253-76151478",3.7731,6.37791395785263e-105,1.28204999632379e-99,0.143,0.011,"Vps53",0,"Yes","Male-enriched"
"chr6-100494941-100495487",3.769,0,0,0.453,0.047,"Gm23234",126,"Yes","Male-enriched"
"chr11-114829444-114830959",3.758,0,0,0.509,0.066,"Gprc5c",20192,"Yes","Male-enriched"
"chr11-52010983-52011983",3.7572,3.34464379599611e-169,6.72320228008361e-164,0.235,0.021,"Gm26551",0,"Yes","Male-enriched"
"chr13-97924483-97924907",3.7556,6.90187692113524e-169,1.38737388742508e-163,0.237,0.022,"Arhgef28",0,"Yes","Male-enriched"
"chr10-117521435-117521904",3.7554,4.11044059312974e-125,8.26256105387381e-120,0.169,0.013,"Kifc5c-ps",72448,"Yes","Male-enriched"
"chr4-95234015-95234444",3.754,9.54391338581783e-114,1.91846020533678e-108,0.166,0.016,"Gm12708",24287,"Yes","Male-enriched"
"chr6-145261792-145262922",3.7497,0,0,0.452,0.049,"Rps25-ps1",3477,"Yes","Male-enriched"
"chr9-40391473-40392948",3.7444,8.06979085766656e-241,1.62214093946299e-235,0.325,0.029,"Gramd1b",0,"Yes","Male-enriched"
"chr10-23335644-23336476",3.7421,4.61379288837567e-268,9.27436963663946e-263,0.375,0.041,"Eya4",0,"Yes","Male-enriched"
"chr10-123335576-123336175",3.7416,2.08238956538606e-91,4.18589456096514e-86,0.131,0.012,"Fam19a2",0,"Yes","Male-enriched"
"chr6-60995602-60996291",3.74,2.03356626113496e-85,4.08775288415783e-80,0.127,0.012,"Mmrn1",6223,"Yes","Male-enriched"
"chr11-112065643-112066533",3.7255,1.39163616344705e-153,2.79738351759145e-148,0.217,0.02,"Gm11679",22064,"Yes","Male-enriched"
"chr14-72785846-72786143",3.718,1.79305272530721e-78,3.60428700524904e-73,0.109,0.009,"Fndc3a",75842,"Yes","Male-enriched"
"chr2-145752356-145752928",3.7177,6.362136043547e-83,1.27887841465756e-77,0.119,0.011,"BC039771",0,"Yes","Male-enriched"
"chr17-48366689-48367263",3.7118,4.03263239065135e-107,8.1061556737439e-102,0.159,0.016,"Treml1",0,"Yes","Male-enriched"
"chr14-93758436-93759582",3.7107,2.77818414321113e-201,5.58453907363442e-196,0.271,0.022,"Pcdh9",0,"Yes","Male-enriched"
"chr13-107646016-107646317",3.7042,1.67742984700237e-82,3.37186883265334e-77,0.115,0.009,"1700006H21Rik",41079,"Yes","Male-enriched"
"chr12-56528038-56528291",3.7007,2.51066081337754e-87,5.04677972740272e-82,0.121,0.01,"Nkx2-1",3666,"Yes","Male-enriched"
"chrX-23422870-23424025",3.6991,1.71761792735501e-186,3.4526525004934e-181,0.259,0.024,"Gm7164",23390,"Yes","Male-enriched"
"chr16-96207173-96208227",3.6944,1.35964577144333e-208,2.7330783510091e-203,0.304,0.034,"Sh3bgr",0,"Yes","Male-enriched"
"chr12-56519489-56520228",3.6938,1.16555309145899e-236,2.34292489126537e-231,0.334,0.035,"Nkx2-1",11729,"Yes","Male-enriched"
"chr5-76844600-76845411",3.6909,9.60849970736364e-231,1.93144296017599e-225,0.319,0.031,"C530008M17Rik",0,"Yes","Male-enriched"
"chr10-125347393-125348598",3.6833,1.84299644223564e-138,3.70468086839555e-133,0.203,0.021,"Slc16a7",18429,"Yes","Male-enriched"
"chr7-3410904-3412362",3.6812,0,0,0.635,0.081,"Cacng8",0,"Yes","Male-enriched"
"chr7-68006181-68007234",3.6691,0,0,0.473,0.054,"Igf1r",0,"Yes","Male-enriched"
"chr10-110484727-110485604",3.6626,5.05863172016789e-174,1.01685579659783e-168,0.25,0.025,"Nav3",28522,"Yes","Male-enriched"
"chr7-107708591-107709082",3.6599,2.21006960884154e-127,4.44254932351674e-122,0.185,0.018,"Ppfibp2",0,"Yes","Male-enriched"
"chr4-126510764-126511455",3.6517,7.37346918445468e-183,1.48217053464397e-177,0.256,0.024,"Ago4",0,"Yes","Male-enriched"
"chr7-96902924-96903492",3.6486,6.90575113727527e-148,1.38815265910825e-142,0.218,0.023,"Tenm4",0,"Yes","Male-enriched"
"chr6-148288117-148288809",3.6485,9.04456754343335e-112,1.81808470017571e-106,0.164,0.016,"Tmtc1",0,"Yes","Male-enriched"
"chr16-50752057-50752695",3.6422,1.44156882503771e-166,2.89775515796129e-161,0.239,0.024,"5330426P16Rik",19283,"Yes","Male-enriched"
"chr9-23378649-23379103",3.6377,4.20765706741298e-264,8.45797977748952e-259,0.37,0.04,"Bmper",0,"Yes","Male-enriched"
"chr14-64052639-64052927",3.6319,6.88060471474362e-83,1.38309787612947e-77,0.117,0.01,"Rp1l1",19134,"Yes","Male-enriched"
"chr1-164019392-164020317",3.6297,8.63443899329405e-301,1.73564311979801e-295,0.421,0.049,"RP23-202J6.4",11642,"Yes","Male-enriched"
"chr8-98365224-98365995",3.6256,1.23041196699691e-110,2.47330031133917e-105,0.172,0.02,"Gm23494",309081,"Yes","Male-enriched"
"chr19-7143865-7144170",3.6248,2.40954684624646e-113,4.84352649751385e-108,0.162,0.015,"Macrod1",0,"Yes","Male-enriched"
"chr12-53007465-53008328",3.6223,7.22659170309079e-113,1.45264610460509e-107,0.163,0.015,"Akap6",0,"Yes","Male-enriched"
"chr11-6216730-6217475",3.6197,2.38501722152618e-151,4.79421851767863e-146,0.218,0.021,"Npc1l1",0,"Yes","Male-enriched"
"chr13-38602183-38603340",3.6187,0,0,0.445,0.054,"Bloc1s5",0,"Yes","Male-enriched"
"chr1-43792770-43793586",3.6176,2.549324104616e-211,5.12449835565282e-206,0.311,0.036,"Uxs1",0,"Yes","Male-enriched"
"chr9-61702396-61702914",3.6144,2.40559225960054e-117,4.83557722471342e-112,0.166,0.015,"Rplp1",210369,"Yes","Male-enriched"
"chr4-57175099-57175723",3.6124,4.22951570722928e-121,8.50191870372987e-116,0.179,0.018,"Gm12530",0,"Yes","Male-enriched"
"chr2-116071615-116071986",3.6086,0,0,0.421,0.044,"G630016G05Rik",0,"Yes","Male-enriched"
"chr8-112604730-112605189",3.6073,3.54563417387415e-86,7.12722107827139e-81,0.128,0.013,"Cntnap4",0,"Yes","Male-enriched"
"chr16-91464527-91465449",3.6004,0,0,0.498,0.057,"A930006K02Rik",0,"Yes","Male-enriched"
"chr9-96878412-96879614",3.5984,0,0,0.564,0.074,"Pxylp1",0,"Yes","Male-enriched"
"chrX-12089675-12089884",3.5941,1.6902608689364e-150,3.39766098308382e-145,0.21,0.018,"Bcor",0,"Yes","Male-enriched"
"chr1-24186487-24187315",3.592,2.28696815003314e-169,4.59712615710761e-164,0.24,0.023,"Col9a1",0,"Yes","Male-enriched"
"chr14-67708959-67709426",3.5909,9.32644123903808e-88,1.874745259224e-82,0.13,0.013,"Cdca2",0,"Yes","Male-enriched"
"chr14-123626167-123627250",3.5847,6.09567775388486e-229,1.22531656801941e-223,0.335,0.039,"Nalcn",0,"Yes","Male-enriched"
"chr2-116055981-116056241",3.5832,5.86264179543948e-175,1.17847307786847e-169,0.247,0.023,"Meis2",0,"Yes","Male-enriched"
"chr2-116049025-116049334",3.5776,7.04587981862699e-121,1.41632048586149e-115,0.176,0.017,"Meis2",0,"Yes","Male-enriched"
"chr4-22479075-22480513",3.5772,0,0,0.471,0.053,"Pou3f2",2266,"Yes","Male-enriched"
"chr14-69968234-69968772",3.5728,5.7710760409728e-85,1.16006707930011e-79,0.127,0.013,"Pebp4",0,"Yes","Male-enriched"
"chr2-115859099-115859890",3.5708,0,0,0.511,0.059,"Meis2",3173,"Yes","Male-enriched"
"chr16-40290049-40290646",3.5676,3.54511102774351e-86,7.12616948130833e-81,0.132,0.014,"Lsamp",0,"Yes","Male-enriched"
"chr2-127394302-127395119",3.5671,1.47234640629362e-222,2.95962240514705e-217,0.334,0.042,"Adra2b",27080,"Yes","Male-enriched"
"chr9-88242551-88242874",3.5653,1.59242271874945e-111,3.20099260386701e-106,0.163,0.016,"Gm28231",17020,"Yes","Male-enriched"
"chrX-23363600-23365444",3.5652,5.96858092058416e-248,1.1997683251703e-242,0.349,0.037,"Gm14523",0,"Yes","Male-enriched"
"chr5-124150410-124151213",3.5623,4.47749916348945e-154,9.00040016849669e-149,0.225,0.023,"Pitpnm2",0,"Yes","Male-enriched"
"chr3-41332189-41332885",3.561,9.12587445076347e-139,1.83442852684577e-133,0.203,0.02,"Gm25487",108457,"Yes","Male-enriched"
"chr14-78747088-78748388",3.5605,0,0,0.495,0.061,"Dgkh",21998,"Yes","Male-enriched"
"chr14-48073374-48074305",3.5511,4.87387470821705e-127,9.79717050597542e-122,0.187,0.019,"Gm6055",5069,"Yes","Male-enriched"
"chr10-83145624-83146164",3.545,7.00258973786514e-171,1.40761857356722e-165,0.246,0.024,"Chst11",0,"Yes","Male-enriched"
"chr3-34563884-34564225",3.5438,1.463930296207e-146,2.94270484561754e-141,0.21,0.02,"Gm27294",3101,"Yes","Male-enriched"
"chr19-59193641-59194445",3.5351,4.09509029564815e-143,8.23170480689418e-138,0.211,0.022,"Vax1",23584,"Yes","Male-enriched"
"chr1-84249617-84250078",3.5283,1.9412706598495e-85,3.90222580418988e-80,0.127,0.012,"Pid1",0,"Yes","Male-enriched"
"chr3-31498993-31499951",3.5267,2.07776388639172e-162,4.17659629859145e-157,0.254,0.032,"RP24-339P17.4",144844,"Yes","Male-enriched"
"chr3-59228573-59229889",3.5218,2.76663331428225e-248,5.56132029037133e-243,0.376,0.05,"Med12l",0,"Yes","Male-enriched"
"chr14-46576637-46577159",3.521,7.53426904913653e-74,1.51449355864313e-68,0.112,0.012,"Rubie",789,"Yes","Male-enriched"
"chr14-76714522-76715230",3.5177,9.40654607238426e-135,1.89084745219425e-129,0.201,0.021,"1700108F19Rik",27352,"Yes","Male-enriched"
"chr14-54557303-54557518",3.5133,3.7473430338016e-105,7.53268412596595e-100,0.155,0.015,"Haus4",2941,"Yes","Male-enriched"
"chr14-93564057-93564707",3.5087,6.56102000571016e-177,1.31885687542782e-171,0.246,0.022,"Pcdh9",0,"Yes","Male-enriched"
"chr11-77252878-77253222",3.5085,1.66287899172055e-93,3.34261957641715e-88,0.14,0.014,"Ssh2",0,"Yes","Male-enriched"
"chr14-16686783-16687084",3.5035,1.44344576161926e-76,2.90152806326133e-71,0.113,0.011,"Rarb",111310,"Yes","Male-enriched"
"chr14-93716876-93717405",3.4997,9.96559557061648e-175,2.0032242280319e-169,0.252,0.025,"Pcdh9",0,"Yes","Male-enriched"
"chrX-12067812-12068439",3.4968,1.1501170308843e-140,2.31189624846176e-135,0.202,0.019,"Bcor",0,"Yes","Male-enriched"
"chr13-4656266-4657032",3.4967,9.32128188046003e-169,1.87370815591879e-163,0.255,0.029,"Rpl29-ps2",41603,"Yes","Male-enriched"
"chr2-107349660-107350123",3.4915,8.778732891638e-118,1.76464821347972e-112,0.172,0.017,"Kcna4",51157,"Yes","Male-enriched"
"chr10-18407220-18407903",3.4901,1.19698829371687e-274,2.40611404873202e-269,0.384,0.041,"Nhsl1",0,"Yes","Male-enriched"
"chr15-30450242-30451109",3.4897,1.14921276917989e-137,2.31007855583927e-132,0.2,0.019,"Ctnnd2",0,"Yes","Male-enriched"
"chr13-56305217-56305542",3.4874,1.58240819255743e-99,3.1808620041874e-94,0.155,0.018,"Cxcl14",8665,"Yes","Male-enriched"
"chr6-49210409-49210709",3.485,4.39581532115496e-125,8.83620420966643e-120,0.189,0.02,"Igf2bp3",0,"Yes","Male-enriched"
"chr12-52412598-52413813",3.4792,4.26615180997069e-196,8.57556239929447e-191,0.294,0.034,"Nubpl",99853,"Yes","Male-enriched"
"chr11-68005750-68006620",3.478,2.23476514655214e-203,4.49219081169032e-198,0.308,0.038,"Stx8",0,"Yes","Male-enriched"
"chr14-18950186-18950614",3.4751,1.55436962469926e-69,3.12450055739297e-64,0.103,0.01,"Ube2e2",55918,"Yes","Male-enriched"
"chr6-90925418-90925811",3.4671,6.76715313482662e-133,1.36029252024404e-127,0.198,0.02,"Ppp1r2-ps2",18964,"Yes","Male-enriched"
"chr12-56524203-56524567",3.4643,4.89831334173694e-127,9.84629558075908e-122,0.187,0.019,"Nkx2-1",7390,"Yes","Male-enriched"
"chr14-34453651-34454094",3.4625,1.33311435738869e-71,2.67974649436129e-66,0.114,0.013,"Bmpr1a",0,"Yes","Male-enriched"
"chr3-123745799-123746637",3.4587,7.36188712480431e-129,1.47984237850541e-123,0.195,0.021,"Gm24456",2395,"Yes","Male-enriched"
"chr15-98776330-98776572",3.457,3.90031729022526e-152,7.84018379777341e-147,0.225,0.024,"Wnt10b",0,"Yes","Male-enriched"
"chr14-64732030-64732368",3.4494,6.00033202065149e-89,1.20615074079924e-83,0.136,0.015,"Kif13b",0,"Yes","Male-enriched"
"chr3-126975703-126976147",3.4454,9.4554887577383e-65,1.90068561714801e-59,0.1,0.011,"Ank2",0,"Yes","Male-enriched"
"chr14-78306982-78308303",3.4397,5.74392856108888e-190,1.15461005577872e-184,0.278,0.03,"Tnfsf11",0,"Yes","Male-enriched"
"chr1-87037785-87038176",3.4374,3.36201879134166e-196,6.75812845322752e-191,0.292,0.033,"Dis3l2",0,"Yes","Male-enriched"
"chr14-11864969-11865419",3.4269,2.48959918111583e-79,5.00444289792818e-74,0.125,0.014,"Ptprg",0,"Yes","Male-enriched"
"chr9-52202701-52203797",3.4221,5.08758884732975e-201,1.02267658455714e-195,0.299,0.034,"Zc3h12c",34589,"Yes","Male-enriched"
"chr2-116049614-116050100",3.4215,2.90781872977178e-147,5.84512274146344e-142,0.226,0.026,"Meis2",0,"Yes","Male-enriched"
"chr3-100394756-100395466",3.4214,3.51152004016819e-158,7.05864689354369e-153,0.247,0.03,"Gm12464",18093,"Yes","Male-enriched"
"chr13-117413442-117414009",3.4133,7.17220495516519e-120,1.44171360685758e-114,0.182,0.019,"Gm6421",54819,"Yes","Male-enriched"
"chr8-128337158-128337533",3.4121,1.40493133422152e-92,2.82410867217205e-87,0.139,0.014,"Nrp1",21539,"Yes","Male-enriched"
"chr7-89193392-89193831",3.4105,1.53612604783947e-80,3.08782841380403e-75,0.121,0.012,"Tmem135",0,"Yes","Male-enriched"
"chr10-86425617-86426229",3.4088,2.25210070249142e-124,4.52703770610611e-119,0.194,0.022,"Syn3",0,"Yes","Male-enriched"
"chr18-68720576-68721380",3.4061,1.6663172369924e-203,3.34953093076791e-198,0.306,0.036,"Mir6356",18019,"Yes","Male-enriched"
"chr7-97804333-97804938",3.4013,1.01254173773029e-96,2.03535064868117e-91,0.157,0.019,"Pak1",37996,"Yes","Male-enriched"
