"SYMBOL","peak","annotation","distanceToTSS","peak_log2FC","rna_log2FC","rna_padj"
"Fbln2","chr6-91212546-91212998","Promoter (<=1kb)",0,2.84554338344617,0.300709005847266,1.19997170439836e-162
"Slc16a7","chr10-125388461-125389829","Promoter (<=1kb)",0,2.84385322387514,NA,NA
"A630023A22Rik","chr14-34103609-34104163","Promoter (<=1kb)",-855,2.84069819469855,NA,NA
"Smim18","chr8-33747433-33747892","Promoter (<=1kb)",0,2.83533108938416,NA,NA
"Ccser2","chr14-36918335-36919996","Promoter (<=1kb)",0,2.81259159541487,0.501637496694393,2.50190647895749e-96
"Sfta3-ps","chr12-56529132-56529407","Promoter (<=1kb)",0,2.81050182803363,0.508629668874892,7.77549292427263e-220
"Gmpr","chr13-45507236-45508177","Promoter (<=1kb)",0,2.79987072808573,0.150392730477694,1.14597032773449e-12
"Tmco4","chr4-138972693-138973709","Promoter (<=1kb)",0,2.79164245189825,NA,NA
"Tada2a","chr11-84095187-84095662","Promoter (1-2kb)",-1333,2.79018522071663,0.114486062235925,0.000272317684754934
"Gprc5a","chr6-135065074-135065795","Promoter (<=1kb)",0,2.78682396902952,NA,NA
"Anxa8","chr14-34085716-34086037","Promoter (<=1kb)",0,2.78474736206225,NA,NA
"Bcat1","chr6-145047538-145048073","Promoter (<=1kb)",0,2.78265140979152,0.208775337186023,8.65104026124966e-21
"Bcar3","chr3-122482932-122483871","Promoter (<=1kb)",0,2.7692995370974,0.328179171585819,1.87222443489505e-78
"Tbc1d30","chr10-121297082-121297682","Promoter (<=1kb)",-47,2.75821914633143,NA,NA
"Vxn","chr1-9601136-9601804","Promoter (<=1kb)",0,2.74708312704048,NA,NA
"S1pr3","chr13-51408516-51408992","Promoter (<=1kb)",0,2.7466122493603,NA,NA
"Stimate","chr14-30824495-30824893","Promoter (<=1kb)",-697,2.72866970197503,0.119034858045784,5.21388978396476e-06
"Atp6v0e","chr17-26662768-26663472","Promoter (<=1kb)",0,2.72189420558855,-0.451724924938895,6.90754194875721e-53
"Lrrc27","chr7-139215038-139215477","Promoter (<=1kb)",363,2.72005800459763,NA,NA
"P2ry6","chr7-100974117-100974843","Promoter (<=1kb)",0,2.71786555383088,NA,NA
"Rassf10","chr7-112953560-112955883","Promoter (<=1kb)",0,2.71090802356283,NA,NA
"Clic6","chr16-92497650-92498997","Promoter (<=1kb)",0,2.69400384516388,NA,NA
"Gm14403","chr2-177498027-177498498","Promoter (<=1kb)",0,2.68499848292762,NA,NA
"Cspg4","chr9-56864898-56865149","Promoter (<=1kb)",0,2.68380717570963,0.0961287404664007,4.83614996846218e-09
"Rhebl1","chr15-98895394-98896090","Promoter (<=1kb)",-854,2.68245890957542,NA,NA
"Sema3b","chr9-107605196-107605447","Promoter (<=1kb)",0,2.67960346611699,NA,NA
"Rasgrf1","chr9-89909452-89910042","Promoter (<=1kb)",0,2.67063146991808,0.315058111530686,7.39572805476534e-140
"Tjp2","chr19-24142530-24143120","Promoter (<=1kb)",0,2.66326073490824,-0.0138443694255092,1
"Mamstr","chr7-45641430-45641708","Promoter (<=1kb)",0,2.65111931020032,NA,NA
"Mgmt","chr7-136893763-136894927","Promoter (<=1kb)",0,2.6471253511916,NA,NA
"Sash1","chr10-8885292-8886726","Promoter (<=1kb)",0,2.64154500770807,0.218148359732021,7.63593134170209e-52
"Pde1b","chr15-103513700-103514456","Promoter (<=1kb)",-464,2.63155654456224,NA,NA
"Msh5","chr17-35030021-35030467","Promoter (<=1kb)",-153,2.62760091681146,NA,NA
"Pde4d","chr13-109926247-109926990","Promoter (<=1kb)",0,2.62140378014719,0.1393371653612,6.32222490489436e-20
"Cdk18","chr1-132138736-132139930","Promoter (<=1kb)",0,2.6183673743453,0.28386372918614,2.51434509307294e-114
"9130230L23Rik","chr5-65990959-65991613","Promoter (<=1kb)",-952,2.61801322599572,NA,NA
"Ampd3","chr7-110768415-110769022","Promoter (<=1kb)",0,2.61599132520675,NA,NA
"Mir6380","chr3-137784421-137785725","Promoter (<=1kb)",-806,2.61468386886519,NA,NA
"Ece1","chr4-137861598-137862872","Promoter (<=1kb)",0,2.59379665237056,0.195126222488472,6.46066808129554e-60
"Fam174c","chr10-80172723-80173280","Promoter (<=1kb)",0,2.58038944658214,NA,NA
"Gper1","chr5-139421078-139421525","Promoter (1-2kb)",-1626,2.57651890689137,NA,NA
"Alpl","chr4-137765471-137766018","Promoter (<=1kb)",457,2.57482862467448,NA,NA
"Plekhg5","chr4-152107436-152108462","Promoter (<=1kb)",0,2.56941769628819,0.161623782233398,2.92780861427335e-10
"Dnm3","chr1-162295224-162295793","Promoter (<=1kb)",0,2.56652940347709,NA,NA
"Ntrk2","chr13-58806360-58807089","Promoter (<=1kb)",0,2.56406653039355,NA,NA
"Cpped1","chr16-11908443-11909573","Promoter (<=1kb)",0,2.5617678059186,0.183520712060138,5.1353725662528e-57
"Cntnap4","chr8-112730583-112731745","Promoter (<=1kb)",0,2.56038411722739,NA,NA
"Col1a1","chr11-94935956-94936365","Promoter (<=1kb)",0,2.55998107926915,2.24347571983659,0
"Itga11","chr9-62677624-62678628","Promoter (<=1kb)",0,2.55748000078063,0.237151682623734,1.39537671779753e-78
"Fam167b","chr4-129579700-129580249","Promoter (1-2kb)",-1151,2.55058708349052,NA,NA
"Slc8a1","chr17-81737117-81737921","Promoter (<=1kb)",456,2.54971654450752,-0.296562685362978,2.23903468741777e-25
"Xdh","chr17-73948777-73949814","Promoter (<=1kb)",278,2.54375684637701,NA,NA
"Sox7","chr14-63943082-63944051","Promoter (<=1kb)",0,2.53917173093478,NA,NA
"P2rx7","chr5-122643416-122644535","Promoter (<=1kb)",0,2.5388850928675,0.487476145554105,1.73801334840407e-179
"Nostrin","chr2-69135758-69136355","Promoter (<=1kb)",0,2.53695406548897,NA,NA
"Trim2","chr3-84304094-84305586","Promoter (<=1kb)",0,2.53404959376759,0.0542085576762102,1
"Erg","chr16-95459907-95460763","Promoter (<=1kb)",-559,2.52341951522568,NA,NA
"Peg13","chr15-72809119-72810812","Promoter (<=1kb)",0,2.52267473459339,NA,NA
"Smpd5","chr15-76294072-76295123","Promoter (<=1kb)",0,2.52214153345454,NA,NA
"Slc6a15","chr10-103367284-103369407","Promoter (<=1kb)",0,2.51429193905392,NA,NA
"Mir9-3hg","chr7-79515251-79515795","Promoter (<=1kb)",0,2.51415048256728,NA,NA
"Nedd4l","chr18-65207330-65207982","Promoter (<=1kb)",0,2.50709918504417,0.0763597597555535,1
"Cyp1b1","chr17-79714699-79716128","Promoter (<=1kb)",0,2.48610301019649,0.305907703265477,3.12354431556772e-136
"9330117O12Rik","chr18-54611319-54613121","Promoter (<=1kb)",0,2.48580831094204,NA,NA
"Pou3f2","chr4-22487263-22489130","Promoter (<=1kb)",0,2.48105264956206,0.212140500283318,1.98058906175874e-69
"Galnt15","chr14-32028377-32029167","Promoter (<=1kb)",0,2.47899623869533,NA,NA
"Phldb3","chr7-24610504-24611624","Promoter (<=1kb)",0,2.46736217531213,NA,NA
"Sgip1","chr4-102868335-102869153","Promoter (1-2kb)",-1411,2.46040819208572,NA,NA
"Zfp68","chr5-138620578-138621131","Promoter (<=1kb)",-817,2.45735588464513,-0.0523844905946975,1
"Rabgap1l","chr1-160351021-160352552","Promoter (<=1kb)",0,2.44657742909845,0.224820230755746,5.79206739563223e-09
"Frg2f1","chr4-119535067-119535348","Promoter (<=1kb)",0,2.44254927232427,NA,NA
"Rnase11","chr14-51051963-51052331","Promoter (1-2kb)",-1800,2.43343448894642,NA,NA
"Mir5114","chr19-44303456-44303806","Promoter (<=1kb)",285,2.42451539865297,NA,NA
"Trpv4","chr5-114657368-114658750","Promoter (<=1kb)",0,2.42034699587274,NA,NA
"Col1a2","chr6-4505022-4505791","Promoter (<=1kb)",0,2.41850888413227,2.03063520945516,0
"Cfap20dc","chr14-8665399-8666577","Promoter (<=1kb)",0,2.41142929351162,NA,NA
"Cdhr1","chr14-37097788-37098942","Promoter (<=1kb)",0,2.40639445665409,NA,NA
"Cep128","chr12-91028909-91029863","Promoter (<=1kb)",215,2.40515703009814,-0.0570630948750382,1
"Mir9b-1","chr3-88217029-88217236","Promoter (1-2kb)",-1333,2.40427108859655,NA,NA
"Pak1","chr7-97842723-97843399","Promoter (<=1kb)",0,2.40030358930879,0.189620760335561,3.85964978745175e-15
"Prkacb","chr3-146769949-146770690","Promoter (<=1kb)",0,2.39803543597212,-0.0715037863871053,1
"Slit1","chr19-41609363-41609976","Promoter (<=1kb)",-833,2.39689914900465,NA,NA
"Nynrin","chr14-55853634-55854733","Promoter (<=1kb)",0,2.39400206487682,NA,NA
"2610307P16Rik","chr13-28885019-28885706","Promoter (<=1kb)",0,2.38804553484563,NA,NA
"Tnfaip3","chr10-19009354-19009588","Promoter (<=1kb)",-509,2.37235490366858,NA,NA
"Traf1","chr2-34961485-34961830","Promoter (<=1kb)",0,2.36800239947715,NA,NA
"Dnajc22","chr15-99098097-99098314","Promoter (1-2kb)",-1098,2.3645789326993,NA,NA
"AI854703","chr6-48626725-48627274","Promoter (<=1kb)",0,2.35712045721571,NA,NA
"Krt13","chr11-100120138-100121129","Promoter (<=1kb)",0,2.35627217442098,NA,NA
"Btbd3","chr2-138278098-138278646","Promoter (<=1kb)",0,2.35619985309001,0.249523213827123,1.0672945910943e-20
"Efemp1","chr11-28851742-28853744","Promoter (<=1kb)",0,2.35068261728589,1.17864312019644,0
"Arhgef37","chr18-61535668-61536719","Promoter (<=1kb)",0,2.34290465146146,NA,NA
"Slc22a4","chr11-54027824-54029094","Promoter (<=1kb)",0,2.3419111685698,NA,NA
"Gm30731","chr4-22490246-22490619","Promoter (<=1kb)",0,2.33692551132029,NA,NA
"Cacnb2","chr2-14823749-14824147","Promoter (<=1kb)",0,2.32408119717236,0.4235348882917,1.35580372145906e-44
"Wipf1","chr2-73484577-73485680","Promoter (<=1kb)",83,2.32000917850605,0.0628942257682765,1
"Sod3","chr5-52363142-52364033","Promoter (<=1kb)",0,2.31942123012069,NA,NA
"Tmem200c","chr17-68836804-68837758","Promoter (<=1kb)",0,2.31600695714729,NA,NA
"4732490B19Rik","chr11-113208513-113209685","Promoter (<=1kb)",0,2.31567443716762,NA,NA
"Mfsd4b1","chr10-40024612-40025507","Promoter (<=1kb)",0,2.30584922158938,NA,NA
"Gzmb","chr14-56262014-56262608","Promoter (<=1kb)",0,2.30565170440523,NA,NA
"Irak2","chr6-113668545-113669167","Promoter (<=1kb)",0,2.30528177240912,-0.122816629143239,6.43996463698667e-05
"Pik3cd","chr4-149697953-149698862","Promoter (<=1kb)",0,2.3012167028435,NA,NA
"Map4k1","chr7-29000679-29001711","Promoter (<=1kb)",0,2.29859815384154,0.222005623825333,4.50685934798962e-100
"Vcam1","chr3-116128561-116128941","Promoter (<=1kb)",0,2.2948986867557,0.707559928141952,4.76556824186931e-173
"Cela1","chr15-100686943-100687734","Promoter (<=1kb)",181,2.29436827245158,NA,NA
"Paqr5","chr9-62026497-62027040","Promoter (<=1kb)",0,2.29209943064391,NA,NA
"Gas2","chr7-51878398-51879674","Promoter (<=1kb)",0,2.29185123465369,NA,NA
"Cfap97d2","chr8-13704157-13704605","Promoter (1-2kb)",-1284,2.29121950174399,NA,NA
"Apbb1ip","chr2-22774074-22774707","Promoter (<=1kb)",0,2.28994713935141,0.421653787009147,5.42699348832838e-145
"Cgref1","chr5-30944890-30945832","Promoter (<=1kb)",0,2.27684618339091,0.345601444272426,4.65221006885674e-167
"Nt5e","chr9-88325831-88326412","Promoter (<=1kb)",-785,2.27222355141097,NA,NA
"Plppr3","chr10-79873337-79873869","Promoter (<=1kb)",355,2.27119938430955,NA,NA
"Dhrs4","chr14-55478319-55479459","Promoter (<=1kb)",0,2.26639862976071,0.293933685412906,1.39556871256715e-92
"Cep85","chr4-134156486-134157074","Promoter (<=1kb)",0,2.26490436393481,0.000635788879563892,1
"Klf12","chr14-100283393-100286124","Promoter (<=1kb)",0,2.26378386164318,NA,NA
"Rem2","chr14-54475791-54476645","Promoter (<=1kb)",0,2.25578797872326,NA,NA
"Tcf4","chr18-69612314-69612831","Promoter (<=1kb)",0,2.25150170330913,0.835367315578255,9.91124318694039e-171
"Mir211","chr7-64206225-64206696","Promoter (<=1kb)",419,2.25131383643427,NA,NA
"Tnfrsf11b","chr15-54277987-54279235","Promoter (<=1kb)",0,2.24504202456555,NA,NA
"2310043L19Rik","chr1-177644306-177644535","Promoter (1-2kb)",-1363,2.24474720055339,NA,NA
"Ptp4a3","chr15-73748012-73748603","Promoter (<=1kb)",0,2.24359763146626,NA,NA
"Adamts1","chr16-85804154-85804477","Promoter (1-2kb)",-1041,2.24344287813164,NA,NA
"Vwa3b","chr1-37026790-37027191","Promoter (<=1kb)",194,2.23876996806777,NA,NA
"Pantr1","chr1-42667404-42668631","Promoter (<=1kb)",0,2.23715298749185,0.609313319540792,1.22565485734577e-105
"Anapc7","chr5-122439338-122440136","Promoter (<=1kb)",0,2.23415648021626,-0.0098934849717649,1
"Trim47","chr11-116108514-116110578","Promoter (<=1kb)",0,2.23278517136529,0.419954341820986,4.15402455699717e-161
"Cfap161","chr7-83794548-83795075","Promoter (<=1kb)",0,2.22244207295793,NA,NA
"Cyth1","chr11-118212547-118213037","Promoter (<=1kb)",0,2.2191668185502,0.0402269446322068,1
"Mettl24","chr10-40682925-40683866","Promoter (<=1kb)",0,2.21392526204083,NA,NA
"Rnls","chr19-33391465-33392458","Promoter (<=1kb)",0,2.2112624088298,NA,NA
"St3gal3","chr4-117969701-117970065","Promoter (1-2kb)",-1253,2.21068790717444,0.056077211790959,1
"Ccdc149","chr5-52470629-52471855","Promoter (<=1kb)",0,2.20981724959856,NA,NA
"Pdlim2","chr14-70175794-70176202","Promoter (<=1kb)",-361,2.2092113507258,0.647032322736467,3.0886851514305e-92
"Mab21l3","chr3-101835542-101836452","Promoter (<=1kb)",0,2.20545997058034,NA,NA
"Nfatc4","chr14-55822487-55823902","Promoter (<=1kb)",0,2.20402127365046,NA,NA
"Gna14","chr19-16435416-16436014","Promoter (<=1kb)",0,2.19788507519627,NA,NA
"Nkx2-2","chr2-147186251-147186464","Promoter (<=1kb)",0,2.19571543955299,NA,NA
"Add2","chr6-86086352-86087418","Promoter (<=1kb)",490,2.19335934718288,NA,NA
"Nadk2","chr15-9074692-9075072","Promoter (<=1kb)",-205,2.18352103383111,0.370151595542468,1.41881535456914e-61
"2810405F15Rik","chr2-116075520-116076315","Promoter (<=1kb)",0,2.16774336259124,NA,NA
"Arhgef28","chr13-98015898-98017207","Promoter (<=1kb)",0,2.1676014222756,NA,NA
"Plekhm3","chr1-64835612-64836789","Promoter (<=1kb)",0,2.16633018438845,-0.123169144909588,1.93430699221692e-05
"Zeb2","chr2-45023897-45024263","Promoter (<=1kb)",-227,2.16577825366791,-0.188796650287203,1.24800428557218e-05
"Vsir","chr10-60346743-60347025","Promoter (<=1kb)",0,2.16548368763997,NA,NA
"Slc27a2","chr2-126563550-126564035","Promoter (<=1kb)",-725,2.16301872925507,NA,NA
"Lrrc15","chr16-30282989-30283368","Promoter (<=1kb)",0,2.16236305060267,NA,NA
"Lmo7","chr14-101839586-101840279","Promoter (<=1kb)",-18,2.15821302407079,0.519249030293619,3.07164954576636e-49
"Emp2","chr16-10312535-10314245","Promoter (<=1kb)",0,2.15797577703455,1.49069020699644,0
"Anks1b","chr10-90068347-90069442","Promoter (1-2kb)",-1669,2.14558783488124,NA,NA
"Il12b","chr11-44398799-44399275","Promoter (<=1kb)",-788,2.1444628691028,NA,NA
"Sgsm1","chr5-113280203-113280816","Promoter (<=1kb)",0,2.14435438845728,NA,NA
"Fam110c","chr12-31073535-31074391","Promoter (<=1kb)",0,2.14259054907483,NA,NA
"Nod2","chr8-88646980-88647612","Promoter (<=1kb)",0,2.13905186878777,NA,NA
"Celrr","chr1-121086613-121087572","Promoter (<=1kb)",0,2.13647198870956,NA,NA
"Cacna1a","chr8-84600278-84600861","Promoter (<=1kb)",0,2.13023898676881,0.205280141273977,4.56322513655913e-18
"Chn1","chr2-73659791-73660743","Promoter (<=1kb)",0,2.12792882090744,-0.0409784362463105,1
"Ehd3","chr17-73804278-73805312","Promoter (<=1kb)",0,2.12774391120217,NA,NA
"Ctsc","chr7-88277220-88278500","Promoter (<=1kb)",0,2.1166878117115,NA,NA
"Pacsin2","chr15-83387814-83388336","Promoter (<=1kb)",266,2.11641338184801,0.0539820969347132,1
"Ldaf1","chr7-120102033-120103341","Promoter (<=1kb)",0,2.10929174657272,NA,NA
"Sh2d4a","chr8-68275626-68277598","Promoter (<=1kb)",0,2.10636222367727,NA,NA
"Rasal2","chr1-157243950-157244650","Promoter (<=1kb)",0,2.10617981880941,-0.0199539263617932,1
"Scara3","chr14-65952994-65954182","Promoter (<=1kb)",0,2.1050117256201,NA,NA
"Aldh1a3","chr7-66426950-66428089","Promoter (<=1kb)",0,2.10210759259417,NA,NA
"Map2","chr1-66321573-66322126","Promoter (<=1kb)",0,2.09777582055752,0.0592897303683853,1
"Rara","chr11-98959542-98960751","Promoter (<=1kb)",0,2.0975813566059,0.165983510317549,9.71528404089322e-23
"Sparc","chr11-55425025-55425312","Promoter (1-2kb)",-1842,2.09153823851907,-0.220753312921508,2.88150991966211e-11
"Or10p22","chr10-128988433-128989218","Promoter (<=1kb)",-213,2.08879122107039,NA,NA
"Adam22","chr5-8116514-8117320","Promoter (<=1kb)",0,2.08655330509324,NA,NA
"Runx1t1","chr4-13750365-13751742","Promoter (<=1kb)",0,2.08642798536971,0.147819984326314,2.13963568833592e-13
"Ccnd2","chr6-127152202-127152655","Promoter (<=1kb)",-9,2.08457018885747,-0.285616096250728,8.41353050436497e-18
"Phlpp1","chr1-106279401-106280112","Promoter (1-2kb)",-1313,2.08434193712429,0.477410940793678,2.37484614898454e-48
"Fkbp10","chr11-100414003-100415875","Promoter (<=1kb)",0,2.08430067774023,0.0484673582244665,1
"Pkp3","chr7-141079886-141080453","Promoter (<=1kb)",106,2.0828463151687,NA,NA
"Krt80","chr15-101369853-101370796","Promoter (<=1kb)",0,2.08209930407904,NA,NA
"Gpr156","chr16-37916134-37916655","Promoter (<=1kb)",0,2.08033635327321,NA,NA
"1700116B05Rik","chr16-50783879-50785692","Promoter (<=1kb)",401,2.07899530708947,NA,NA
"Ccbe1","chr18-66291011-66292301","Promoter (<=1kb)",0,2.07392067945127,NA,NA
"Gata4","chr14-63245052-63245853","Promoter (<=1kb)",0,2.07258596881204,NA,NA
"Ppfia3","chr7-45361178-45361818","Promoter (<=1kb)",4,2.06899110360341,NA,NA
"Tacr2","chr10-62252559-62252893","Promoter (<=1kb)",121,2.06576072844907,NA,NA
"Loxl4","chr19-42611361-42614138","Promoter (<=1kb)",0,2.06390173377554,NA,NA
"Lgals3","chr14-47373712-47374714","Promoter (<=1kb)",0,2.06300635844334,2.09075940093797,0
"Dok5","chr2-170731331-170732162","Promoter (<=1kb)",0,2.06094476596787,NA,NA
"Tor3a","chr1-156665900-156666438","Promoter (<=1kb)",292,2.06022296320827,0.191789892750199,4.97319421383188e-36
"Rbck1","chr2-152323812-152324102","Promoter (<=1kb)",262,2.04967492804403,-0.0520790022656385,1
"Ghrh","chr2-157347407-157348244","Promoter (<=1kb)",0,2.0484255916989,NA,NA
"Ubr5","chr15-37971558-37972068","Promoter (<=1kb)",-943,2.04773469437028,-0.241468677784305,6.31273449060831e-17
"Mical1","chr10-41474998-41475329","Promoter (<=1kb)",-985,2.04359729638233,0.240595343543459,3.90429241038984e-89
"Kcnn4","chr7-24369776-24370266","Promoter (<=1kb)",0,2.04184786162824,NA,NA
"Pitpnm1","chr19-4100723-4101111","Promoter (<=1kb)",101,2.03800815523386,0.160740330685592,3.0401586676231e-45
"Abra","chr15-41869399-41869944","Promoter (<=1kb)",0,2.02719137352857,NA,NA
