"SYMBOL","peak","annotation","distanceToTSS","peak_log2FC","rna_log2FC","rna_padj"
"Prodh","chr16-18078309-18079683","Promoter (<=1kb)",0,-2.11248563565309,NA,NA
"Snx31","chr15-36547614-36548431","Promoter (1-2kb)",-1469,-2.10574837343333,NA,NA
"Mir3085","chr19-42279587-42280338","Promoter (<=1kb)",0,-2.10452335616721,NA,NA
"Fbxo9","chr9-78088540-78090990","Promoter (<=1kb)",-904,-2.10078981625499,-0.295344504952918,2.57258489522311e-18
"Aldh1l1","chr6-90587920-90588905","Promoter (<=1kb)",-445,-2.09806728542008,NA,NA
"Cd101","chr3-101023049-101023638","Promoter (<=1kb)",-873,-2.0940741251738,NA,NA
"Or6ae1","chr7-140165130-140166253","Promoter (<=1kb)",-366,-2.08191851453109,NA,NA
"Nol4l","chr2-153482818-153483974","Promoter (<=1kb)",0,-2.07469140712626,NA,NA
"Npepps","chr11-97223459-97224330","Promoter (<=1kb)",431,-2.07367597249979,0.112039378613973,0.440495919755481
"Bmf","chr2-118551455-118552018","Promoter (1-2kb)",-1768,-2.07355109427566,NA,NA
"Grhl2","chr15-37231464-37232008","Promoter (1-2kb)",-1028,-2.0730153970143,NA,NA
"Pcdhga11","chr18-37755538-37756461","Promoter (<=1kb)",0,-2.06812482225978,NA,NA
"Tyro3","chr2-119803542-119804808","Promoter (<=1kb)",455,-2.05695913976236,-0.0801831294050983,1
"Usp4","chr9-108379247-108379757","Promoter (1-2kb)",-1614,-2.05472613450156,-0.0602937992697975,1
"Sema3c","chr5-17691981-17692365","Promoter (1-2kb)",-1837,-2.05425736240427,-0.39906457255826,2.27405596588004e-64
"Aff3","chr1-38626377-38628195","Promoter (<=1kb)",0,-2.05313798449605,-0.401160977470418,1.26590439851409e-76
"Tafa5","chr15-87543585-87545308","Promoter (<=1kb)",0,-2.05015124851229,-0.224988285481444,8.15012913662935e-30
"Fam83a","chr15-57984307-57985086","Promoter (<=1kb)",-333,-2.04595241268489,NA,NA
"Cyp24a1","chr2-170496888-170498298","Promoter (<=1kb)",0,-2.04528990570879,NA,NA
"Fscn1","chr5-142969473-142969839","Promoter (<=1kb)",-246,-2.04502977770978,-0.200835592127165,2.98283426025312e-09
"Gm10791","chr16-84971847-84972541","Promoter (<=1kb)",0,-2.04070449590132,NA,NA
"Wnk2","chr13-49071253-49072193","Promoter (<=1kb)",-238,-2.03994087770722,NA,NA
"Lingo2","chr4-35844592-35845689","Promoter (<=1kb)",0,-2.03893427102459,NA,NA
"Rnf10","chr5-115255095-115255986","Promoter (<=1kb)",0,-2.03333984397916,-0.174125310242874,0.00210812715562553
"Gm6093","chr13-33568853-33569748","Promoter (<=1kb)",0,-2.03147421053611,NA,NA
"Pmp2","chr3-10183632-10184240","Promoter (<=1kb)",0,-2.02855041731233,-0.115458151557426,1
"Gad2","chr2-22619531-22621194","Promoter (1-2kb)",-1011,-2.02102797907121,NA,NA
"Pygb","chr2-150822691-150823315","Promoter (<=1kb)",-292,-2.01996972929828,-0.367449934102118,8.90202595731529e-29
"Negr1","chr3-156560135-156562581","Promoter (<=1kb)",0,-2.01784624571589,-0.226836677360096,2.81328058806109e-33
"Usp46","chr5-74066303-74067093","Promoter (<=1kb)",-555,-2.00645935363638,-0.385597077929406,2.44430828701412e-29
"Iqcf6","chr9-106623669-106624407","Promoter (1-2kb)",-1574,-2.000180167736,NA,NA
"Lct","chr1-128330045-128330749","Promoter (1-2kb)",-1727,-1.99026747237855,NA,NA
"Thap4","chr1-93731866-93732544","Promoter (<=1kb)",0,-1.98874380247521,0.0118189366928628,1
"Mab21l4","chr1-93159859-93160710","Promoter (<=1kb)",160,-1.98581869066315,NA,NA
"Wnt7b","chr15-85566930-85567318","Promoter (<=1kb)",0,-1.97967376955786,NA,NA
"Atic","chr1-71567805-71568584","Promoter (<=1kb)",-282,-1.9779050186032,0.00888241860346595,1
"Dmrt1i","chr5-144356816-144358943","Promoter (<=1kb)",0,-1.97564199378984,NA,NA
"Nin","chr12-70025068-70026861","Promoter (<=1kb)",0,-1.97482565351522,0.0626964019104316,1
"Vgll3","chr16-65827936-65828621","Promoter (<=1kb)",0,-1.97389570226115,-0.963030998673821,2.12656843894727e-158
"Gm10415","chr6-126328211-126329328","Promoter (<=1kb)",0,-1.97292515560402,NA,NA
"A230001M10Rik","chr3-102263329-102263853","Promoter (<=1kb)",490,-1.96932140721518,NA,NA
"Dip2b","chr15-100161683-100162222","Promoter (<=1kb)",-505,-1.96711312651969,-0.152063416189641,0.000792878453749875
"Elmo1","chr13-20182835-20184413","Promoter (<=1kb)",-794,-1.96585281646918,NA,NA
"Mctp2","chr7-72110400-72111627","Promoter (<=1kb)",0,-1.96049301329088,NA,NA
"Aqp8","chr7-123461778-123462271","Promoter (<=1kb)",-20,-1.95810788810896,NA,NA
"Polr1b","chr2-129121741-129122317","Promoter (<=1kb)",30,-1.95806291303427,-0.0428416143658152,1
"E130101E03Rik","chr9-24973388-24974961","Promoter (<=1kb)",0,-1.95550273906569,NA,NA
"Hlf","chr11-90381795-90382764","Promoter (<=1kb)",0,-1.95108243771792,NA,NA
"Celf3","chr3-94485832-94486270","Promoter (<=1kb)",-376,-1.94837157784394,NA,NA
"Hfm1","chr5-106891408-106892235","Promoter (1-2kb)",-1486,-1.94454099822282,NA,NA
"Map1s","chr8-70903529-70903964","Promoter (1-2kb)",-1968,-1.94396531444164,-0.0828653252852288,1
"Piezo1","chr8-122486949-122487372","Promoter (1-2kb)",-1325,-1.94265078121368,-0.0873104977748498,1
"Sema3e","chr5-14025062-14026035","Promoter (<=1kb)",0,-1.93848880432993,-2.06707395455027,0
