Chromosome	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	10993906	10994435	10994106.0	23	24	4	0.0	0.0088170031625143	1.9520823201601726e-05	1952.082320160173	1.600665877004834e-05	1600.665877004834	351.4164431553386	0.0	NM_029525	Prex2	+	0	NR_030645	Mir467e	-	-128033
chr1	11090726	11091129	11090926.0	6	4	1	4.1444725429329305e-10	0.0126160289454441	5.092388661287407e-06	509.2388661287407	2.6677764616747237e-06	266.7776461674723	242.46121996126837	3.305331359445783e-07	NM_029525	Prex2	+	0	NM_001033636	Prex2	+	172834
chr1	11953354	11953846	11953643.0	7	5	8	1.3186140512821964e-08	0.0181788442888811	5.941120104835308e-06	594.1120104835308	3.334720577093404e-06	333.47205770934045	260.6399527741903	8.565855514637197e-06	NM_177173	A830018L16Rik	+	0	NM_001160370	A830018L16Rik	+	-351534
chr1	15806341	15806411	15806138.0	9	3	2	2.242650509742816e-14	0.0003805963334075	7.63858299193111e-06	763.8582991931111	2.0008323462560426e-06	200.08323462560423	563.7750645675068	2.7762786466685697e-11	NM_001286628	Terf1	+	0	NM_001033288	Sbspon	-	47451
chr1	16114857	16115008	16114696.5	6	2	5	3.116939125691332e-07	0.0039364675310615	5.092388661287407e-06	509.2388661287407	1.3338882308373617e-06	133.38882308373616	375.8500430450045	0.0001646326170016	NM_133832	Rdh10	+	0	NM_011291	Rpl7	-	-10022
chr1	16608151	16608838	16608351.0	29	6	6	0.0	3.514966095963246e-13	2.4613211862889133e-05	2461.3211862889134	4.001664692512085e-06	400.1664692512085	2061.154717037705	0.0	NM_001271016	Ube2w	-	0	NM_001310470	Eloc	-	32887
chr1	16617992	16618752	16618469.0	21	13	7	0.0	0.0041888979331036	1.7823360314505925e-05	1782.3360314505924	8.67027350044285e-06	867.0273500442851	915.3086814063072	0.0	NM_001271016	Ube2w	-	0	NM_001310470	Eloc	-	22973
chr1	16656867	16657270	16657067.0	5	1	1	3.704420925565444e-08	0.0004859198450841	4.243657217739505e-06	424.36572177395055	6.669441154186808e-07	66.69441154186808	357.6713102320825	2.2684227797217008e-05	NM_001310470	Eloc	-	0	NM_026456	Eloc	-	-3
chr1	16661986	16662007	16661685.0	44	39	4	0.0	0.036137606844682	3.734418351610765e-05	3734.418351610765	2.6010820501328552e-05	2601.082050132856	1133.3363014779095	0.0	NR_037998	D030040B21Rik	+	0	NM_027415	Tmem70	+	3184
chr1	16662978	16663225	16662632.5	22	13	11	0.0	0.0014768585973198	1.8672091758053822e-05	1867.2091758053823	8.67027350044285e-06	867.0273500442851	1000.1818257610976	0.0	NR_037998	D030040B21Rik	+	-61	NM_027415	Tmem70	+	1966
chr1	20912365	20912955	20912658.5	6	2	6	1.6211085726025587e-06	0.0013682888536612	5.092388661287407e-06	509.2388661287407	1.3338882308373617e-06	133.38882308373616	375.8500430450045	0.0007712085689625	NM_028829	Paqr8	+	0	NR_040492	6720483E21Rik	-	-21893
chr1	21078202	21078605	21078402.0	7	4	2	3.642568469075513e-10	0.0146954477759365	5.941120104835308e-06	594.1120104835308	2.6677764616747237e-06	266.7776461674723	327.33436431605844	2.922913753844444e-07	NM_177409	Tram2	-	0	NM_027974	Efhc1	+	-87362
chr1	21094177	21094674	21094377.0	5	3	2	3.250119049447165e-07	0.0308104864742124	4.243657217739505e-06	424.36572177395055	2.0008323462560426e-06	200.08323462560423	224.2824871483463	0.0001711082038996	NM_177409	Tram2	-	-14953	NM_027974	Efhc1	+	-103337
chr1	21820153	21820577	21820374.0	6	3	4	5.608800708323258e-07	0.0025716376199214	5.092388661287407e-06	509.2388661287407	2.0008323462560426e-06	200.08323462560423	309.1556315031364	0.0002853676117823	NM_001310477	Kcnq5	-	0	NM_001113187	Khdc1b	+	-433770
chr1	23257016	23257433	23257230.0	6	1	3	7.84328149094904e-08	3.511158222557764e-05	5.092388661287407e-06	509.2388661287407	6.669441154186808e-07	66.69441154186808	442.5444545868726	4.553403323954677e-05	NR_029533	Mir30a	+	14836	NR_029717	Mir30c-2	+	34268
chr1	23264748	23264885	23264545.0	6	1	4	3.3731355331134694e-07	3.5876851681715394e-05	5.092388661287407e-06	509.2388661287407	6.669441154186808e-07	66.69441154186808	442.5444545868726	0.0001771436707021	NR_029533	Mir30a	+	7384	NR_029717	Mir30c-2	+	26816
chr1	23270597	23271157	23270954.0	27	21	6	0.0	0.005250297813411	2.291574897579333e-05	2291.574897579333	1.4005826423792298e-05	1400.5826423792298	890.9922552001033	0.0	NR_029533	Mir30a	+	1112	NR_029717	Mir30c-2	+	20544
chr1	23911194	23911765	23911479.0	5	2	5	1.8967542814163354e-07	0.0034638582227448	4.243657217739505e-06	424.36572177395055	1.3338882308373617e-06	133.38882308373616	290.9768986902144	0.0001035663056901	NM_028534	Smap1	-	0	NR_110972	Smap1	-	-1459
chr1	24099205	24099736	24099479.0	18	16	5	0.0	0.0178187513396317	1.527716598386222e-05	1527.716598386222	1.0671105846698892e-05	1067.1105846698892	460.6060137163329	0.0	NM_026604	Fam135a	-	0	NM_007740	Col9a1	+	77874
chr1	24586273	24586676	24586473.0	5	0	2	2.1341040379319054e-08	1.2748987421318247e-09	4.243657217739505e-06	424.36572177395055	0.0	0.0	424.36572177395055	1.3499755897501169e-05	NM_007733	Col19a1	-	0	NM_026719	Lmbrd1	+	91868
chr1	30872347	30872811	30872775.0	30	21	7	0.0	0.0003167102453687	2.5461943306437037e-05	2546.194330643704	1.4005826423792298e-05	1400.5826423792298	1145.6116882644735	0.0	NM_001081080	Phf3	-	-9092	NM_011200	Ptp4a1	-	67060
chr1	30939685	30940510	30940165.0	10	4	15	2.4412522781069868e-08	0.0003171413205708	8.48731443547901e-06	848.7314435479011	2.6677764616747237e-06	266.7776461674723	581.9537973804288	1.5338587224009654e-05	NM_011200	Ptp4a1	-	0	NR_002688	Gm13363	-	1082
chr1	31158796	31159221	31158996.0	8	6	3	3.483779931201525e-11	0.0369407413615813	6.789851548383209e-06	678.9851548383209	4.001664692512085e-06	400.1664692512085	278.8186855871124	3.1338364312155116e-08	NR_033445	4931428L18Rik	-	0	NM_153601	Lgsn	+	17214
chr1	33673688	33674091	33673888.0	7	2	2	1.7359056525556582e-08	0.0002600187373511	5.941120104835308e-06	594.1120104835308	1.3338882308373617e-06	133.38882308373616	460.7231873997946	1.1102190737192248e-05	NR_033199	1700001G17Rik	+	-2977	NM_008922	Prim2	-	-3895
chr1	33683028	33683721	33683518.0	14	5	5	7.238654120556022e-14	1.18541027035457e-05	1.1882240209670616e-05	1188.2240209670615	3.334720577093404e-06	333.47205770934045	854.7519632577211	8.543682934576924e-11	NR_033199	1700001G17Rik	+	-12317	NM_008922	Prim2	-	-13235
chr1	33711631	33712198	33711995.0	9	7	2	3.8663072743361226e-11	0.0470718854878854	7.63858299193111e-06	763.8582991931111	4.6686088079307655e-06	466.8608807930766	296.99741840003446	3.4598278250825784e-08	NM_008999	Rab23	+	7698	NM_001159729	Rab23	+	8221
chr1	33810840	33811243	33811040.0	5	0	1	4.7003169134640643e-07	1.2748987421318247e-09	4.243657217739505e-06	424.36572177395055	0.0	0.0	424.36572177395055	0.0002416494184016	NM_133817	Zfp451	-	0	NM_001161816	Gm15455	-	24656
chr1	33980513	33980978	33980724.0	12	8	4	1.0743850253902563e-11	0.0109496564875852	1.0184777322574812e-05	1018.4777322574812	5.335552923349447e-06	533.5552923349446	484.9224399225367	1.0258712898983898e-08	NM_001276764	Dst	+	0	NM_133833	Dst	+	30847
chr1	33989314	33989788	33989552.0	15	4	4	2.1094237467877974e-15	2.4050214464388375e-07	1.2730971653218515e-05	1273.0971653218517	2.6677764616747237e-06	266.7776461674723	1006.3195191543792	2.851431180105703e-12	NM_001276764	Dst	+	0	NM_133833	Dst	+	22037
chr1	34110708	34111252	34111049.0	11	9	4	1.7378654071364963e-10	0.0481553235451203	9.336045879026911e-06	933.6045879026912	6.002497038768128e-06	600.2497038768128	333.3548840258785	1.4503627552237757e-07	NM_001276764	Dst	+	0	NR_105861	Mir6896	+	6107
chr1	34139118	34139521	34139318.0	7	3	1	1.04589648053377e-09	0.0029142952577081	5.941120104835308e-06	594.1120104835308	2.0008323462560426e-06	200.08323462560423	394.02877585792646	7.900186249066781e-07	NM_001276764	Dst	+	0	NM_010081	Dst	+	20809
chr1	34235814	34236436	34236146.0	14	6	7	1.047006925603e-11	0.0001034192905083	1.1882240209670616e-05	1188.2240209670615	4.001664692512085e-06	400.1664692512085	788.0575517158529	1.0007720970911514e-08	NM_001276764	Dst	+	0	NM_010081	Dst	+	-51912
chr1	34842082	34842683	34842480.0	11	1	6	1.8529622280993865e-13	5.344150677544235e-10	9.336045879026911e-06	933.6045879026912	6.669441154186808e-07	66.69441154186808	866.9101763608232	2.1048031818000008e-10	NM_001160236	Fam168b	-	0	NM_175421	Plekhb2	+	7276
chr1	36323666	36324080	36323866.0	11	1	4	1.834732366035041e-11	8.640389514980028e-10	9.336045879026911e-06	933.6045879026912	6.669441154186808e-07	66.69441154186808	866.9101763608232	1.7074136145549987e-08	NM_001290727	Arid5a	+	0	NM_001310513	Kansl3	-	11650
chr1	36696345	36696841	36696638.0	6	0	3	2.4624169681075614e-07	1.8180013050539398e-11	5.092388661287407e-06	509.2388661287407	0.0	0.0	509.2388661287407	0.0001322981453251	NM_146107	Actr1b	-	2361	NM_009942	Cox5b	+	-2958
chr1	37474876	37475537	37475076.0	7	1	2	1.930533510829946e-10	1.0986991732853111e-05	5.941120104835308e-06	594.1120104835308	6.669441154186808e-07	66.69441154186808	527.4175989416626	1.6033700409271808e-07	NM_173870	Mgat4a	-	0	NR_024017	4930594C11Rik	-	10314
chr1	37631278	37631681	37631478.0	7	4	1	2.1653012716171816e-11	0.0243945143286068	5.941120104835308e-06	594.1120104835308	2.6677764616747237e-06	266.7776461674723	327.33436431605844	2.002504191635236e-08	NM_028096	2010300C02Rik	-	0	NM_173870	Mgat4a	-	-90263
chr1	37709045	37709448	37709245.0	6	2	2	1.2791268155787351e-08	0.0021732834903656	5.092388661287407e-06	509.2388661287407	1.3338882308373617e-06	133.38882308373616	375.8500430450045	8.324092591606073e-06	NM_028096	2010300C02Rik	-	0	NM_207228	Tsga10	-	45124
chr1	37723731	37724335	37724132.0	8	4	6	1.3011293154008284e-08	0.0082126126464583	6.789851548383209e-06	678.9851548383209	2.6677764616747237e-06	266.7776461674723	412.2075086708486	8.455269383492475e-06	NM_028096	2010300C02Rik	-	-3921	NM_207228	Tsga10	-	30237
chr1	38286137	38286540	38286337.0	5	3	1	3.08659245940035e-08	0.0294131335989745	4.243657217739505e-06	424.36572177395055	2.0008323462560426e-06	200.08323462560423	224.2824871483463	1.91266924322706e-05	NM_001290814	Aff3	-	0	NM_019570	Rev1	-	-156476
chr1	39555620	39555854	39556181.0	74	13	7	0.0	0.0	6.280612682254469e-05	6280.612682254468	8.67027350044285e-06	867.0273500442851	5413.585332210183	0.0	NM_001033135	Rnf149	-	0	NR_028555	Snord89	-	-6781
chr1	39695146	39695680	39695477.0	9	4	4	1.7262105078685863e-09	0.0092608961658916	7.63858299193111e-06	763.8582991931111	2.6677764616747237e-06	266.7776461674723	497.0806530256388	1.2688611750936354e-06	NM_001145660	Rfx8	-	0	NM_170597	Creg2	-	-43965
chr1	40514812	40515280	40515059.0	7	5	4	6.096776239417069e-08	0.0391975847323423	5.941120104835308e-06	594.1120104835308	3.334720577093404e-06	333.47205770934045	260.6399527741903	3.606097234814585e-05	NM_010553	Il18rap	+	82	NM_008365	Il18r1	+	-13959
chr1	40836005	40836408	40836205.0	5	1	3	9.925490088713571e-07	0.0001691331001913	4.243657217739505e-06	424.36572177395055	6.669441154186808e-07	66.69441154186808	357.6713102320825	0.0004873196741053	NM_001081198	Tmem182	+	0	NM_172499	Mfsd9	-	-45349
chr1	40849137	40849540	40849337.0	12	11	1	0.0	0.0493323498223934	1.0184777322574812e-05	1018.4777322574812	7.336385269605489e-06	733.6385269605489	284.8392052969324	0.0	NM_001081198	Tmem182	+	0	NM_172499	Mfsd9	-	-58481
chr1	42677523	42677966	42677763.0	7	2	2	4.743197756784667e-08	6.610569784049058e-05	5.941120104835308e-06	594.1120104835308	1.3338882308373617e-06	133.38882308373616	460.7231873997946	2.857743128548736e-05	NR_027826	Pantr1	-	0	NM_008900	Pou3f3	+	19180
chr1	42684403	42684806	42684603.0	11	5	1	5.551115123125784e-16	0.0001005451804095	9.336045879026911e-06	933.6045879026912	3.334720577093404e-06	333.47205770934045	600.1325301933508	7.914265273439951e-13	NR_027826	Pantr1	-	0	NM_008900	Pou3f3	+	12340
chr1	42686265	42686668	42686465.0	12	8	2	7.993605777301127e-15	0.0017631988819831	1.0184777322574812e-05	1018.4777322574812	5.335552923349447e-06	533.5552923349446	484.9224399225367	1.0265404593626194e-11	NR_027826	Pantr1	-	0	NM_008900	Pou3f3	+	10478
chr1	42713825	42714301	42714098.0	13	3	2	2.220446049250313e-16	1.5959290222689052e-08	1.1033508766122714e-05	1103.3508766122716	2.0008323462560426e-06	200.08323462560423	903.2676419866672	3.2682356701989183e-13	NR_110495	Pantr2	-	-372	NR_027891	2900092D14Rik	+	-10650
chr1	42718170	42718573	42718370.0	6	2	1	2.7927890111634213e-08	0.0003965048993955	5.092388661287407e-06	509.2388661287407	1.3338882308373617e-06	133.38882308373616	375.8500430450045	1.7410061797193208e-05	NR_110495	Pantr2	-	-4717	NR_027891	2900092D14Rik	+	-14995
chr1	42851718	42852173	42851931.0	14	11	3	8.881784197001252e-16	0.0038445570986981	1.1882240209670616e-05	1188.2240209670615	7.336385269605489e-06	733.6385269605489	454.5854940065126	1.2430774715055389e-12	NM_023514	Mrps9	+	0	NR_130904	Dalir	+	-98833
chr1	43091504	43091907	43091704.0	5	3	1	8.611076731668277e-07	0.0144339093313754	4.243657217739505e-06	424.36572177395055	2.0008323462560426e-06	200.08323462560423	224.2824871483463	0.0004266321851233	NM_001013025	Tgfbrap1	-	0	NM_133818	AI597479	+	6803
chr1	43098032	43098435	43098232.0	12	12	1	0.0	0.0406086431516965	1.0184777322574812e-05	1018.4777322574812	8.00332938502417e-06	800.332938502417	218.14479375506423	0.0	NM_001013025	Tgfbrap1	-	0	NM_133818	AI597479	+	275
chr1	43099183	43099306	43099506.0	10	9	7	6.787439305044884e-07	0.0284416673683991	8.48731443547901e-06	848.7314435479011	6.002497038768128e-06	600.2497038768128	248.48173967108835	0.0003412930662837	NM_133818	AI597479	+	0	NM_001013025	Tgfbrap1	-	-562
chr1	43169714	43170117	43169914.0	13	5	2	4.440892098500626e-16	5.757183777044261e-06	1.1033508766122714e-05	1103.3508766122716	3.334720577093404e-06	333.47205770934045	769.8788189029311	6.377711394026199e-13	NM_001289533	Fhl2	-	0	NM_010212	Fhl2	-	-5754
chr1	43785425	43785999	43785735.0	9	4	6	2.6397950492196287e-09	0.0013133675835067	7.63858299193111e-06	763.8582991931111	2.6677764616747237e-06	266.7776461674723	497.0806530256388	1.895300810196034e-06	NM_026430	Uxs1	-	0	NM_024283	1500015O10Rik	+	-42862
chr1	44552198	44552601	44552398.0	18	13	1	0.0	0.0032729236050096	1.527716598386222e-05	1527.716598386222	8.67027350044285e-06	867.0273500442851	660.6892483419371	0.0	NM_028450	Gulp1	+	0	NR_040602	4930521E06Rik	-	187074
chr1	45837888	45838291	45838088.0	11	0	3	6.364908600176022e-13	0.0	9.336045879026911e-06	933.6045879026912	0.0	0.0	933.6045879026912	6.865502793578606e-10	NM_028599	Wdr75	+	-14276	NM_016917	Slc40a1	-	69779
chr1	46075898	46076301	46076098.0	10	2	4	2.6117996654306808e-12	6.67729209924417e-07	8.48731443547901e-06	848.7314435479011	1.3338882308373617e-06	133.38882308373616	715.342620464165	2.662124857389998e-09	NM_001160386	Dnah7b	+	0	NR_037690	Stk-ps2	-	-45462
chr1	46808370	46808428	46808662.5	6	2	3	6.749880543388542e-09	0.0036502804686052	5.092388661287407e-06	509.2388661287407	1.3338882308373617e-06	133.38882308373616	375.8500430450045	4.576165190939225e-06	NM_172653	Slc39a10	-	0	NM_001310335	Dnah7c	+	-894
chr1	46852281	46852723	46852520.0	8	4	4	2.2808754884806604e-11	0.015122828989441	6.789851548383209e-06	678.9851548383209	2.6677764616747237e-06	266.7776461674723	412.2075086708486	2.1037281298234142e-08	NM_172653	Slc39a10	-	0	NM_001310335	Dnah7c	+	-44805
chr1	46863248	46863508	46863708.0	10	5	5	7.993605777301127e-14	0.0091465914550272	8.48731443547901e-06	848.7314435479011	3.334720577093404e-06	333.47205770934045	515.2593858385607	9.396422075653561e-11	NM_172653	Slc39a10	-	-9740	NM_001310335	Dnah7c	+	-55772
chr1	46864116	46864509	46864306.0	8	4	2	7.541745006278688e-13	0.0159618199423766	6.789851548383209e-06	678.9851548383209	2.6677764616747237e-06	266.7776461674723	412.2075086708486	8.08415230555774e-10	NM_172653	Slc39a10	-	-10535	NM_001310335	Dnah7c	+	-56567
chr1	50926184	50926587	50926384.0	6	1	1	1.192362986124351e-09	1.3470534153570137e-05	5.092388661287407e-06	509.2388661287407	6.669441154186808e-07	66.69441154186808	442.5444545868726	8.93776992862249e-07	NM_019790	Tmeff2	+	936	NR_045151	9330175M20Rik	-	291799
chr1	51119228	51120072	51119745.0	15	11	9	2.9976021664879227e-14	0.0022654495413204	1.2730971653218515e-05	1273.0971653218517	7.336385269605489e-06	733.6385269605489	539.4586383613027	3.6687454765669396e-11	NM_019790	Tmeff2	+	0	NR_045151	9330175M20Rik	-	98314
chr1	51124812	51125215	51125012.0	5	1	1	8.484423119625718e-08	0.0001076882809734	4.243657217739505e-06	424.36572177395055	6.669441154186808e-07	66.69441154186808	357.6713102320825	4.900267195350824e-05	NM_019790	Tmeff2	+	0	NR_045151	9330175M20Rik	-	93171
chr1	51250193	51250699	51250393.0	11	8	2	1.887379141862766e-15	0.0068070197586896	9.336045879026911e-06	933.6045879026912	5.335552923349447e-06	533.5552923349446	400.0492955677466	2.5657871926535684e-12	NR_045151	9330175M20Rik	-	0	NM_138741	Cavin2	+	38427
chr1	51291407	51292046	51291792.0	13	13	6	1.504352198367087e-13	0.043134359664358	1.1033508766122714e-05	1103.3508766122716	8.67027350044285e-06	867.0273500442851	236.3235265679865	1.7241271434487887e-10	NR_045151	9330175M20Rik	-	0	NM_019790	Tmeff2	+	-104138
chr1	52110940	52111352	52111184.0	7	3	4	6.613575054270626e-08	0.0098507719029079	5.941120104835308e-06	594.1120104835308	2.0008323462560426e-06	200.08323462560423	394.02877585792646	3.891678799936503e-05	NM_001308266	Stat4	+	-3752	NM_001205314	Stat1	+	8051
chr1	52113151	52113719	52113516.0	23	17	2	0.0	0.035186003047342	1.9520823201601726e-05	1952.082320160173	1.1338049962117574e-05	1133.8049962117575	818.2773239484152	0.0	NM_001205314	Stat1	+	5719	NM_001205313	Stat1	+	5903
chr1	52118568	52118971	52118768.0	12	8	2	0.0	0.0457365436617321	1.0184777322574812e-05	1018.4777322574812	5.335552923349447e-06	533.5552923349446	484.9224399225367	0.0	NM_001205314	Stat1	+	467	NM_001205313	Stat1	+	651
chr1	52231918	52232321	52232118.0	10	4	2	4.4186876380081237e-14	0.001960665875795	8.48731443547901e-06	848.7314435479011	2.6677764616747237e-06	266.7776461674723	581.9537973804288	5.3145572272720215e-11	NM_001081081	Gls	-	0	NM_001205314	Stat1	+	-70054
chr1	52232746	52233149	52232946.0	5	0	1	8.38223689347828e-08	1.2748987421318247e-09	4.243657217739505e-06	424.36572177395055	0.0	0.0	424.36572177395055	4.8463386302284784e-05	NM_001081081	Gls	-	0	NM_001205314	Stat1	+	-70882
chr1	52501741	52501796	52500902.0	49	13	14	0.0	1.1102230246251563e-16	4.158784073384716e-05	4158.784073384715	8.67027350044285e-06	867.0273500442851	3291.75672334043	0.0	NM_008667	Nab1	-	-255	NM_001142647	Nemp2	+	128909
chr1	52815717	52816179	52815917.0	7	2	3	4.137556075534121e-09	0.0010911163032316	5.941120104835308e-06	594.1120104835308	1.3338882308373617e-06	133.38882308373616	460.7231873997946	2.897634538235683e-06	NM_008384	Inpp1	-	0	NM_146108	Hibch	+	28859
chr1	52816395	52816888	52816685.0	13	8	7	2.986499936241671e-14	0.0259443608565221	1.1033508766122714e-05	1103.3508766122716	5.335552923349447e-06	533.5552923349446	569.795584277327	3.655971234170959e-11	NM_008384	Inpp1	-	0	NM_146108	Hibch	+	28150
chr1	53693171	53693625	53693384.0	8	4	5	7.583298100577451e-09	0.0060981908769508	6.789851548383209e-06	678.9851548383209	2.6677764616747237e-06	266.7776461674723	412.2075086708486	5.099694244840979e-06	NM_001252070	Dnah7a	-	0	NM_133810	Stk17b	-	61887
chr1	53881984	53882387	53882184.0	6	3	3	1.0098968650229525e-07	0.012033014451389	5.092388661287407e-06	509.2388661287407	2.0008323462560426e-06	200.08323462560423	309.1556315031364	5.766146190020308e-05	NM_001001883	Hecw2	-	0	NR_106149	Mir7681	+	-32490
chr1	53940027	53940430	53940227.0	6	3	1	1.2503644786221455e-09	0.0109303499751716	5.092388661287407e-06	509.2388661287407	2.0008323462560426e-06	200.08323462560423	309.1556315031364	9.345787006677564e-07	NM_001001883	Hecw2	-	0	NR_106149	Mir7681	+	-90533
chr1	55132630	55133125	55132922.0	8	3	6	5.077780007578525e-08	0.0009672253936482	6.789851548383209e-06	678.9851548383209	2.0008323462560426e-06	200.08323462560423	478.9019202127166	3.0456450268339823e-05	NM_025283	Mob4	+	0	NM_028713	Rftn2	-	37035
chr1	55202630	55203033	55202830.0	24	10	3	0.0	1.2948629791731392e-06	2.0369554645149627e-05	2036.9554645149624	6.669441154186808e-06	666.9441154186809	1370.0113490962815	0.0	NM_028713	Rftn2	-	0	NM_175439	Mars2	+	34144
chr1	55624291	55624866	55624566.0	6	2	5	5.877035759160876e-07	0.0008555277423853	5.092388661287407e-06	509.2388661287407	1.3338882308373617e-06	133.38882308373616	375.8500430450045	0.0002980773235468	NM_001114663	Plcl1	+	0	NM_029267	Boll	-	-260823
chr1	56972253	56972656	56972453.0	16	4	1	0.0	6.950592035259717e-08	1.3579703096766416e-05	1357.9703096766418	2.6677764616747237e-06	266.7776461674723	1091.1926635091695	0.0	NR_024325	9130024F11Rik	+	0	NM_139146	Satb2	-	-920
chr1	56972898	56973385	56973098.0	16	10	2	0.0	0.003896440511636	1.3579703096766416e-05	1357.9703096766418	6.669441154186808e-06	666.9441154186809	691.0261942579609	0.0	NR_024325	9130024F11Rik	+	0	NM_139146	Satb2	-	-1565
chr1	57376584	57377270	57377067.0	9	3	7	1.5247791917971654e-10	0.0002822147540486	7.63858299193111e-06	763.8582991931111	2.0008323462560426e-06	200.08323462560423	563.7750645675068	1.2797144552916054e-07	NR_037999	4930558J18Rik	-	0	NM_028546	1700066M21Rik	+	350
chr1	57407171	57407574	57407371.0	17	8	3	0.0	0.00016594528998	1.442843454031432e-05	1442.843454031432	5.335552923349447e-06	533.5552923349446	909.2881616964874	0.0	NM_001081181	Maip1	+	0	NM_001302963	Tyw5	-	-498
